RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31
102001,0,United States,country,,1227.7343173893612,1233.3686357430786,1240.853293957068,1245.2586843151141,1249.8369198320154,1253.4729247796276,1259.4551793495816,1265.016769330738,1270.6569055952693,1277.1860455024841,1282.611256736504,1286.931270074573,1289.7470336113777,1292.972089994634,1295.4986591821785,1300.6277701704091,1305.4920569547667,1311.1820833079328,1314.3074034749668,1318.2686845459211,1322.598949305302,1325.244586146283,1327.3037165688547,1328.8138344180775,1333.99580107635,1338.1609758016195,1343.5042985609439,1345.762368923203,1349.5057813125354,1351.9821090288556,1354.6607349286544,1356.7019450662,1359.4709496497353,1363.0888120507414,1367.6512862615714,1373.4043636420272,1377.3435283984718,1382.1011599481728,1385.4128218252042,1390.3482862988596,1393.491425768647,1397.476409428959,1401.6413802694292,1406.474420140203,1410.2874533946867,1414.6980649454722,1419.7090183245934,1424.1164315992644,1428.2706523092122,1431.2274418204163,1435.4182729634895,1439.444955674063,1444.2050068137032,1448.7926250236096,1453.609839500333,1458.0471176709289,1462.8309662927331,1467.0470250562441,1470.4985679208662,1473.9880317857926,1477.9025674718234,1482.5693919449377,1483.8548030346915,1475.677742432994,1463.2117376393771,1452.3144957969546,1446.751675712329,1441.4541164692437,1436.8793606882177,1436.3279802134052,1439.6322539811338,1444.4977828069675,1451.2637691162636,1458.4839231800006,1470.3926210037982,1487.3887280707147,1509.607336226658,1534.4201132116991,1560.3751395955967,1588.3376470354472,1616.013011510851,1638.4731551960772,1656.909915867844,1673.162573700618,1686.8548650032274,1699.362586499237,1709.8392037786946,1723.6693898661588,1737.906097237187,1752.6179764639917,1763.7900017935171,1771.1150450047962,1775.666235847201,1777.2118933453412,1779.786206236829,1783.8324440320798,1790.0124608463666,1795.8438765627775,1802.2853679761201,1805.0496172466044,1805.6067148555344,1804.2139714768389,1803.9501770027123,1805.670988049834,1809.6152795443259,1817.6837493888481,1826.071617547527,1833.8712603555748,1840.655086597079,1847.9526628898377,1854.7319634898624
394913,1,"New York, NY",msa,NY,2271.0859493184003,2287.015428331604,2299.139712016494,2311.2767440326797,2317.011810616675,2322.895069384534,2327.874200158389,2334.4804658474013,2341.5513028296814,2350.0917071090776,2355.9889227656736,2360.9957385003154,2363.382456757085,2365.6842492203523,2366.7651994480016,2368.7269216350155,2371.7788225664967,2376.2596554746547,2380.902487247605,2385.0738734722418,2389.361748061904,2393.129818588636,2397.753119837192,2396.715540798452,2400.277782515156,2399.060276349103,2404.609345579898,2403.695356405725,2408.9840771557206,2411.280027532334,2414.5184051976366,2414.9613802210965,2413.8940435047825,2412.482012084137,2413.514748731909,2419.1329278742037,2423.360047612876,2428.775812756818,2433.8646384219364,2442.322488410234,2446.7348292076417,2450.2442450088124,2454.235388398013,2460.404470014387,2466.848338437636,2472.200434966591,2479.170308905981,2486.0989517418357,2492.7885271205773,2498.7832074009775,2503.3624885221566,2508.5953544799218,2514.231210637526,2522.038309809961,2529.3934210764787,2536.7536998507962,2544.919229030772,2554.432556770481,2561.7533319333347,2568.3591104275797,2575.3563713688127,2583.7029544572583,,,,,,,,2318.4000060935928,2304.015525960876,2302.6462082618395,2303.519657138541,2310.5299445815936,2323.798002638477,2345.4361797691877,2375.842158820029,2414.8322614253857,2464.0745149843365,2523.303776508109,2584.8522243829184,2638.048312871115,2688.385532490832,2727.901422722821,2761.9762564352304,2788.4897018156444,2814.7251345866234,2840.844682508236,2871.032734667005,2903.5396557325666,2933.1665588888986,2956.3092020862705,2968.7383337061033,2976.4073724418995,2978.6412902524457,2987.7356430611535,2997.4094635330584,3008.8658269988196,3018.68338749882,3030.5503291975556,3037.3429230688603,3039.5063480334475,3038.759933005239,3040.5436441895163,3049.97343080575,3064.8153408603052,3083.0695457147226,3099.2894030726397,3117.7341587305027,3137.506251968178,3157.7216530707956
753899,2,"Los Angeles, CA",msa,CA,1716.81206936442,1728.5714206038083,1740.0198004763574,1753.8568090539638,1762.7797556139658,1771.044130612629,1781.4340098101918,1795.0804872079198,1810.9880958669562,1822.6220090857137,1838.178789883021,1850.383123152919,1860.6839014328193,1868.8307905252323,1874.61242875123,1884.7278533350732,1896.436674077287,1907.263303754292,1914.9338662694029,1917.893945873065,1925.029283721341,1934.4818509679887,1946.9833524832372,1958.9930573819395,1977.1530640387284,1992.660617359664,2011.0868787952431,2020.5621322235381,2030.3390364425643,2038.6960303860512,2047.913486291066,2056.3664983358326,2063.333810268361,2068.650174672937,2075.796216633852,2084.7953832429394,2094.202129303281,2103.4932918711684,2108.0287145742045,2113.7143002717653,2119.9206812267453,2129.3595580277374,2139.7535215819485,2150.758373183264,2159.3297598989016,2166.880430981292,2172.443185860431,2178.905658211024,2181.7223416175725,2187.2529762108807,2193.3944667420474,2201.96764333768,2209.489437516147,2215.070443529484,2219.681934521291,2224.728778233278,2230.96329582174,2238.0509046161487,2244.635174410973,2249.5372650075547,2255.5187018199545,2259.822644483628,2252.276794558295,,2224.7779001629824,2208.057206158247,2194.8502275641363,2181.5562287013568,2176.1698293596705,2178.41173405534,2185.4038042461793,2189.570828602177,2195.780166366156,2201.8702138866356,2212.7567122330775,2225.0204257198848,2245.244151441654,2277.5090333772314,2317.7556850374076,2363.4343770055066,2402.0633601607683,2434.094563613229,2457.828457333878,2484.3820973932598,2505.9272487248236,2529.93347474406,2549.136714916611,2572.3577644721927,2595.6198465309917,2612.454878589953,2623.1670981213524,2629.22139678291,2634.309894108899,2633.4229044801177,2635.746916969659,2639.9227082960065,2643.495534980396,2648.8625008055064,2653.079911794405,2657.4985447127237,2657.5619044154237,2656.5403632537927,2655.2533583018076,2654.744851464903,2657.047805457283,2665.477017574339,2674.410865934653,2680.86494908766,2689.4048728949856,2695.141725874119,2702.8975682334953
394463,3,"Chicago, IL",msa,IL,1429.760714636371,1430.2282336383614,1435.6611043440716,1438.2529112045409,1443.1242369016225,1445.3463976901653,1448.7580845899065,1453.7392543710835,1458.0533652460122,1465.182847626839,1471.7818057813017,1476.2852580097037,1481.30035717723,1481.9685539211425,1486.2261664057762,1487.0905884250071,1491.514309088025,1496.1688192979796,1503.0858690814493,1509.4446727497057,1512.4460690649778,1511.1884030070619,1506.595357352399,1501.845741263191,1504.0224361954463,1513.171601455835,1524.2709966094505,1529.465462125073,1532.3584365598706,1533.2122424991253,1533.3803937899113,1531.452931025849,1534.6381149428478,1538.7755565311957,1544.4288811205356,1549.029796759841,1551.2667527551562,1553.847941593037,1554.5803533067633,1556.558834104996,1559.1399218590552,1563.668869030736,1567.7142054912913,1569.571105747658,1568.7352031861212,1570.336925070764,1575.2817800306984,1585.3034740656205,1589.0855888606466,1590.8831258480345,1592.0746845285335,1596.0208001225294,1599.9011631360945,1603.3015649474025,1607.0071631516817,1613.5144191014099,1620.3103847080622,1625.5369942599468,1628.1386725938175,1627.404335899606,1631.3157984712755,1635.3338962329076,1639.8210349496212,1627.7927403848967,1614.3056270726865,1603.6637787440598,1598.4154486814616,1593.8429170383083,1587.9467146739842,1580.2671787731229,1576.4618517139472,1573.687081544623,1570.4617070852373,1571.4498205946536,1579.8010551501493,1599.4473237650689,1617.9938860349896,1635.313151044004,1650.1759161116702,1665.4784769792573,1680.5796664063373,1693.963227067964,1708.6104639768944,1723.4823226961566,1738.769826018183,1750.157445450586,1761.549335122447,1772.7341946648917,1784.4949305821608,1794.567406309735,1807.6727033161674,1816.8295784713796,1829.4149978848739,1842.1687251410895,1853.341498768013,1861.08263763561,1867.1850731089096,1876.441081266659,1885.1698815483248,1889.8350466831198,1895.5507750816093,1903.2867642689598,1909.2405706670154,1918.2305119422278,1925.1372877008164,1933.5023530533392,1941.9044575831792,1952.9823260344394,1965.2530015119405,1976.347161101541,1986.5045382440383
394514,4,"Dallas, TX",msa,TX,1027.8761190841208,1028.908454401647,1033.5400466928427,1037.7075429066822,1043.5081649400918,1052.510445041914,1058.3105015403166,1060.8245006882316,1066.4990198688733,1073.7404657885884,1082.2785669884495,1093.4743323892828,1092.2586016791308,1095.8117004438625,1101.4122404897355,1116.3989219455837,1120.1076050498432,1121.3042761013999,1118.7158255915458,1123.1544903644335,1129.4838935530197,1137.4729183518984,1148.0851728533576,1151.8705136048598,1163.3668256283256,1166.5403346385037,1175.7939668845033,1177.3292003009753,1189.6621912033097,1193.8164888611473,1198.8790253342138,1201.4070932900818,1204.0576452142532,1201.5518136901017,1203.5016872376273,1204.4033872698958,1211.84278144726,1217.5123730887672,1219.0202199262899,1219.8956187773074,1219.2182389554985,1224.2309440244844,1229.0907360705562,1231.897454675141,1231.234484005975,1238.4803050971411,1241.5166355532344,1249.640372903402,1248.966438318902,1251.4286058192167,1253.9691738320623,1258.6203925853745,1261.3400039006256,1263.8973853858897,1266.800914375893,1270.8237879632698,1276.669941458284,1278.2333987456673,1280.070002286455,1279.5690288451515,1281.195373166587,1282.6082820064285,1284.5499131714798,1280.1546146716855,1270.532099332929,1260.871423875946,1255.3172579338657,1255.0621872157978,1258.4704185486694,1264.5534848370585,1271.5885235503201,1279.3615076152105,1284.7749131185792,1289.7270949395413,1297.0673057309625,1313.101810701466,1335.0924804140568,1359.0195888592825,1384.7004108916888,1412.0127528185185,1438.4783300767363,1458.808824997415,1478.2262012967858,1496.6870061256743,1513.6114751230418,1527.1485467456077,1535.3673892867514,1549.4786405192838,1563.2513398602277,1581.551310674727,1592.3670329065294,1595.2062445744464,1592.8111365123684,1585.4573559440087,1581.6923566426844,1579.2688923611338,1582.3859715059482,1586.5155712784265,1592.4755428491205,1589.5594432037794,1584.4641450746944,1574.6858690691433,1568.5171069778228,1565.9198361464196,1566.4352380662135,1572.8252629483663,1576.2860527127111,1578.4885216829916,1576.9384672285025,1575.6107241280936,1574.3961380194598
394692,5,"Houston, TX",msa,TX,1171.5825724696626,1165.6282275290735,1155.064827321913,1151.7436370082157,1161.1510584207467,1173.879745692723,1189.625498621617,1197.1114559098512,1200.4059852371406,1190.5670329436296,1187.6305705518234,1191.7300624819386,1194.1717386913735,1195.6088261917182,1208.2166821263493,1220.449061395509,1217.9009694044084,1212.8374935322556,1207.5682209125573,1208.901228930771,1207.947710184726,1198.98307806727,1199.1287236566873,1191.2201652121507,1201.2081943989194,1207.940372377849,1213.2878714705023,1201.8252437747294,1205.0997939470244,1202.8716414568712,1205.3671180813928,1198.6510027140848,1208.8960968040217,1223.313169865532,1242.4634582272686,1259.1469275149882,1260.6799193499521,1261.7906739929053,1254.5119119372873,1262.6508429474577,1257.83895360029,1259.949294843196,1258.678697735818,1263.361339337254,1261.794375777253,1262.106041067443,1260.2875695563935,1256.0145758833626,1255.0008383614734,1250.371899514966,1255.3523058324972,1256.5653659482016,1262.894623008182,1266.669482886878,1270.641052513077,1273.2936339797052,1272.9171986745544,1271.2947565854465,1267.2074491817498,1267.915027804087,1270.026403734801,1275.8657096560753,1282.2541084657605,1274.3275765490707,1257.9603077778336,1242.4907518694408,1236.9507526714601,1236.773805446938,1238.0020858211285,1241.1945655651434,1245.6711535260035,1246.4433305067773,1246.6240130574338,1243.0634861227095,1248.1761551612683,1258.771492034409,1277.9390555366033,1299.7570493821595,1320.8599916834035,1339.9965871983268,1356.0749015612428,1365.9946432137915,1374.0520921899342,1379.8422503910112,1387.9766105812046,1395.839752173308,1402.8786808246925,1411.2552061510812,1417.7117186382145,1424.438432036342,1427.855444080279,1430.6610753941723,1431.4483253793928,1432.4752485616575,1432.3964408110496,1433.0803144341166,1437.2323243935768,1443.8640506084985,1449.9919383259557,1450.539880778922,1449.425079537598,1446.6833282050645,1444.834577461394,1443.450647513791,1444.7606371782888,1448.2747954320757,1452.9500981116505,1458.3558308103375,1459.7229837698617,1459.531395963502,1458.084584606584
395209,6,"Washington, DC",msa,VA,1709.9487125759538,1704.5029777376085,1700.7309105151658,1702.970408848805,1716.426107537897,1724.7407994755715,1728.341562036084,1726.9798808866612,1732.1386225819765,1747.004861685224,1752.5934975427253,1758.4103992454372,1748.1557400771599,1745.3500992928177,1743.8388413527384,1756.1724679159843,1761.4156905649575,1762.834085963785,1758.1687352732483,1761.7045193466085,1764.4722614869572,1763.57294646902,1764.3594329030914,1769.569468645904,1780.3453825003642,1794.1395123650104,1800.055380517631,1799.005424317881,1790.957667460849,1795.3497645924595,1798.288719776369,1801.088856254044,1797.908623235785,1803.6673864057555,1801.259230639299,1799.1652145621147,1798.4653754356332,1804.2021241925079,1814.936649875249,1820.320052428115,1824.4265426434345,1826.8217445069777,1832.4453256670945,1840.3982347756807,1843.8137382440739,1847.8505800081173,1856.9034664091264,1863.6244030707408,1868.5828220422957,1867.472846680205,1865.5594268235118,1868.2423640790373,1876.6221199563931,1881.3128877943045,1885.6531845774518,1886.719126316685,1894.146026258857,1897.0782624888725,1900.093964096373,1903.8349842884018,1907.6945778875793,1912.258112993102,1912.3639384300418,1899.452655910349,1879.4003685015466,1856.0566501759954,1840.3493493193669,1828.7070435762678,1817.3973713318128,1811.2839233051268,1802.9795681975436,1796.5622385932206,1795.6450688092975,1801.1193771796172,1807.228740110662,1817.957575128047,1835.9414377017717,1864.8254355354118,1892.8415843814164,1921.5462471374217,1947.3626909015277,1969.9936860139367,1988.117347618394,2001.6312048830555,2008.537859148619,2014.7723033825744,2023.8546940071465,2037.4556137926413,2050.9269117914746,2063.8929255702847,2076.0150803357533,2081.3015066571465,2083.3047506238154,2079.805881803248,2079.3593559442343,2082.4987428655254,2090.0722031045298,2097.4412416242726,2105.932162540391,2109.307987205184,2111.103585275404,2109.1792429334077,2107.9796524688118,2111.9794474441333,2120.7996207055744,2135.3369669482636,2151.188683817471,2166.8616296493506,2182.002730685843,2197.0649496050123,2210.889898078573
394974,7,"Philadelphia, PA",msa,PA,1256.3062607731697,1256.6035410761274,1263.5296391039763,1264.481887007134,1268.5656805617737,1270.0191022445938,1277.4023321629738,1280.8815850360681,1281.4989227693727,1283.0189502019998,1286.7062152227836,1285.2904501320197,1283.8809159761752,1289.199421958356,1294.9407692719415,1302.0916030282674,1306.9464632229399,1311.1452775177384,1310.0421853484438,1312.7429754620618,1318.3043582161456,1320.4433830245143,1324.8742922753408,1327.3897600207724,1331.4311378597333,1329.061781224405,1329.6145662102679,1331.7250257703154,1333.9913977915012,1335.5476082877824,1337.6165380994628,1339.7216803991134,1342.278593787269,1344.8037443830008,1344.7558107664133,1351.7325484611974,1356.044307877268,1362.43671721511,1362.6686459966415,1364.60561348098,1368.4417838655195,1371.6438817315177,1376.0013314781577,1379.1218789313277,1382.7464969924883,1387.7611447065676,1394.3196110004685,1396.357915971889,1400.6458955646222,1403.1476071064233,1409.9922230525724,1414.6565588028789,1418.2351039176106,1422.861955010058,1427.306973825217,1432.0483249686501,1435.698008103147,1438.9737911502382,1441.8206531132637,1445.2300333674314,1447.9722912534965,1452.1551917459196,1456.1935203254827,1453.2465392175557,1446.7461230260026,1441.4362528263553,1440.715930602233,1438.7604224194886,1439.3447692812304,1444.2789893008357,1449.6223309414213,1452.6908905559042,1452.3515556149887,1454.5032624456312,1461.4338461495322,1476.7025278121203,1495.0557578289042,1512.9493228912204,1528.8200714846862,1546.9493459258017,1563.4917262738795,1578.9314858994098,1590.5853315612244,1607.5825795303522,1620.4359839559354,1633.779851841967,1638.1103790290408,1645.7803120330773,1650.8981844166356,1661.8892048342425,1668.7983828550289,1671.603583192992,1672.658721420098,1672.1426833872044,1675.2638698983008,1677.358197372373,1684.2233100335425,1684.215379418505,1689.0753177389279,1690.8319253992158,1693.8444840927461,1692.4215397759533,1694.3751079686324,1698.6743640756183,1704.7794691660595,1711.8391182997289,1718.0580639376922,1722.9122297508266,1727.0783025567398,1735.8120982797916,1744.5296385306212
394856,8,"Miami, FL",msa,FL,1399.6862267065378,1412.0744207790026,1418.8824558992496,1423.6726131161638,1425.3612773737507,1429.1283218606757,1438.6783231493546,1450.6038413283172,1462.607634597671,1470.000346678977,1476.5710593644517,1477.644963405883,1485.8954305627706,1492.003846157224,1504.3345740499076,1510.8261644599056,1515.1434497578084,1513.094234916773,1513.713281535024,1517.8293160370313,1524.7283526818685,1525.1422242633107,1529.7940436056856,1530.5623501358882,1540.685808215577,1541.5433357146037,1548.8559475279214,1552.1984495518684,1556.0066852317607,1559.9594867528579,1561.3785601966774,1566.1825968900926,1569.1631317984768,1574.4114411710057,1575.4378875339496,1582.5026171071238,1581.814142535284,1588.781690973199,1589.018437893989,1596.9025274120102,1601.0391722427928,1610.511682480198,1616.441422411434,1622.0796732415786,1624.3072606834692,1629.7663421664101,1635.6882910613367,1638.1338460981785,1642.5159466214648,1646.1273400873993,1650.8314536419457,1653.0613314954844,1658.8399267623954,1661.8316733372728,1668.37530512958,1672.8619706774775,1680.5891234589417,1686.4381033444463,1693.4632132414959,1701.482759052436,1710.070486424548,1717.8865403538778,1721.56266311395,1717.6028223889114,1709.320309751719,1697.428781467569,1691.5273659172046,1690.0975965456907,1691.3255887049315,1699.6743409624094,1711.0079238329015,1724.441870786604,1741.9302840338828,1762.9532024913422,1790.4377692834266,1822.0575795985903,1865.8211515008463,1921.344435963299,1985.1500694596925,2053.9231504209065,2113.83542876863,2160.8794735055217,2199.9504843507,2240.0633643879337,2277.6212276247265,2309.535208670955,2342.4368170876332,2374.7619452117365,2402.1235159906555,2420.3726616833105,2432.443063581797,2434.1518556690767,2440.0879352321485,2441.8399123937825,2448.9858808320932,2457.739173829571,2466.354993746869,2475.5661090593376,2480.3575227654837,2484.339467655397,2484.948957409172,2486.047374540366,2485.2061568469617,2488.333473821563,2492.3122050823836,2504.063669049662,2514.138302270147,2520.6218992975687,2526.426301318588,2532.6226445883326,2539.0654497874207
394347,9,"Atlanta, GA",msa,GA,1022.0279784498607,1028.4133628128632,1026.7396151021817,1037.1399244949275,1036.831141802802,1050.0784558920147,1056.724840562223,1063.6556619813302,1065.7201810872866,1074.5877074897255,1087.7656968110628,1095.620564637087,1101.0496841800236,1102.7924927254392,1117.2310860505818,1118.902815685833,1126.6881502188032,1125.266393782677,1135.338997990997,1139.6905446914038,1150.5021470651773,1147.19757329293,1153.3946989702497,1159.6254388234572,1179.1872393745175,1192.2137274742831,1197.987188130829,1207.6899239779204,1215.1989995068807,1224.022460546062,1225.816191771492,1231.1237314611917,1240.7860607902307,1249.9841925871033,1249.7727477837127,1251.178863696339,1254.2630317184367,1261.9085774232653,1265.4605595077921,1272.6220825091664,1282.8410068951594,1290.5266372743033,1296.6731172074485,1301.9453777161896,1308.175576022307,1321.6259772607398,1331.2604805968651,1337.1680365811496,1339.2088712908355,1342.296587247957,1348.8440492055322,1352.76068750244,1354.232522495187,1358.3675722950095,1364.6745851597566,1370.7348108427746,1372.0199858428791,1370.4369943104366,1374.0155883227412,1379.4801311953638,1383.6534632630292,1385.8935724306739,1388.258501838823,1380.3298001169346,1367.8359070624276,1360.8608245840887,1363.1712651081573,1365.330113186046,1370.79917580803,1377.7726193195676,1390.890074326951,1404.3418318581257,1417.5068334073087,1428.5265250089417,1442.757963847781,1463.9351112467987,1494.123181466411,1531.752479206356,1571.5934170512378,1614.1205976875895,1647.4339554076844,1675.9982090373906,1693.620288652424,1707.8387631392934,1715.0985877078967,1720.883865746611,1728.1907325748336,1737.0383124356588,1747.8697876991216,1758.9469534843686,1767.6104184212343,1766.5881317742762,1763.7207930324762,1754.5786197991292,1751.7669586633783,1750.4520801215242,1752.8277897663404,1756.4550110648627,1761.873076835288,1762.1484283124018,1756.451900225862,1744.9278522004108,1731.8735636123083,1724.5949778820952,1722.5440345671432,1726.7689719478408,1729.606159803127,1731.8896600238809,1733.7298142592194,1734.7638177864717,1732.418913014443
