iter	Passed	Remaining
455	979	1168
456	981	1166
457	983	1164
458	985	1162
459	988	1159
460	990	1157
461	992	1155
462	994	1153
463	996	1151
464	998	1149
465	1001	1147
466	1003	1145
467	1005	1142
468	1007	1140
469	1009	1138
470	1011	1136
471	1013	1134
472	1016	1132
473	1018	1130
474	1020	1127
475	1022	1125
476	1025	1123
477	1027	1121
478	1029	1119
479	1031	1117
480	1033	1115
481	1035	1113
482	1037	1111
483	1040	1108
484	1042	1106
485	1044	1104
486	1046	1102
487	1048	1100
488	1050	1098
489	1052	1095
490	1055	1093
491	1057	1091
492	1059	1089
493	1061	1087
494	1063	1085
495	1065	1083
496	1067	1080
497	1070	1078
498	1072	1076
499	1074	1074
500	1076	1072
501	1078	1069
502	1080	1067
503	1082	1065
504	1084	1063
505	1086	1061
506	1088	1058
507	1091	1056
508	1093	1054
509	1095	1052
510	1097	1050
511	1099	1048
512	1101	1045
513	1103	1043
514	1105	1041
515	1108	1039
516	1110	1037
517	1112	1035
518	1114	1033
519	1116	1031
520	1119	1028
521	1121	1026
522	1123	1024
523	1125	1022
524	1128	1020
525	1130	1018
526	1132	1016
527	1134	1014
528	1136	1012
529	1138	1009
530	1141	1007
531	1143	1005
532	1145	1003
533	1147	1001
534	1149	999
535	1151	997
536	1153	994
537	1156	992
538	1158	990
539	1160	988
540	1162	986
541	1164	984
542	1166	981
543	1168	979
544	1170	977
545	1173	975
546	1175	973
547	1177	971
548	1179	969
549	1181	966
550	1183	964
551	1185	962
552	1187	960
553	1189	957
554	1191	955
555	1193	953
556	1196	951
557	1198	949
558	1200	946
559	1202	944
560	1204	942
561	1206	940
562	1208	938
563	1211	936
564	1213	933
565	1215	931
566	1217	929
567	1219	927
568	1221	925
569	1223	923
570	1225	921
571	1227	918
572	1230	916
573	1232	914
574	1234	912
575	1236	909
576	1238	907
577	1240	905
578	1242	903
579	1244	901
580	1246	899
581	1248	896
582	1250	894
583	1253	892
584	1255	890
585	1257	888
586	1259	886
587	1261	883
588	1263	881
589	1265	879
590	1267	877
591	1270	875
592	1272	873
593	1274	871
594	1276	869
595	1279	866
596	1281	864
597	1283	862
598	1285	860
599	1287	858
600	1290	856
601	1292	854
602	1294	852
603	1296	850
604	1299	848
605	1301	846
606	1303	844
607	1305	841
608	1308	839
609	1310	837
610	1312	835
611	1314	833
612	1316	831
613	1318	828
614	1320	826
615	1322	824
616	1324	822
617	1326	820
618	1329	818
619	1331	815
620	1333	813
621	1335	811
622	1337	809
623	1339	807
624	1341	805
625	1343	802
626	1346	800
627	1348	798
628	1350	796
629	1352	794
630	1354	792
631	1356	789
632	1358	787
633	1361	785
634	1363	783
635	1365	781
636	1367	779
637	1369	777
638	1371	775
639	1374	772
640	1376	770
641	1378	768
642	1381	766
643	1383	764
644	1385	762
645	1387	760
646	1389	758
647	1391	755
648	1393	753
649	1395	751
650	1397	749
651	1400	747
652	1402	745
653	1404	743
654	1406	741
655	1408	738
656	1410	736
657	1413	734
658	1415	732
659	1417	730
660	1419	727
661	1421	725
662	1423	723
663	1425	721
664	1427	719
665	1429	717
666	1431	714
667	1434	712
668	1436	710
669	1438	708
670	1440	706
671	1442	704
672	1444	701
673	1446	699
674	1448	697
675	1450	695
676	1452	693
677	1455	691
678	1457	689
679	1459	686
680	1461	684
681	1463	682
682	1466	680
683	1468	678
684	1470	676
685	1472	673
686	1474	671
687	1476	669
688	1478	667
689	1480	665
690	1482	663
691	1484	660
692	1487	658
693	1489	656
694	1491	654
695	1493	652
696	1495	650
697	1497	648
698	1499	645
699	1502	643
700	1504	641
701	1506	639
702	1508	637
703	1510	635
704	1512	633
705	1515	630
706	1517	628
707	1519	626
708	1521	624
709	1523	622
710	1526	620
711	1528	618
712	1530	615
713	1532	613
714	1534	611
715	1536	609
716	1538	607
717	1541	605
718	1543	603
719	1545	601
720	1547	598
721	1549	596
722	1551	594
723	1554	592
724	1556	590
725	1558	588
726	1560	586
727	1562	583
728	1564	581
729	1567	579
730	1569	577
731	1571	575
732	1573	573
733	1575	570
734	1577	568
735	1579	566
736	1582	564
737	1584	562
738	1586	560
739	1588	558
740	1590	555
741	1592	553
742	1594	551
743	1597	549
744	1599	547
745	1601	545
746	1603	543
747	1605	540
748	1607	538
749	1610	536
750	1612	534
751	1614	532
752	1616	530
753	1618	528
754	1620	525
755	1622	523
756	1624	521
757	1627	519
758	1629	517
759	1631	515
760	1633	512
761	1635	510
762	1637	508
763	1639	506
764	1641	504
765	1643	502
766	1645	499
767	1647	497
768	1650	495
769	1652	493
770	1654	491
771	1656	489
772	1658	487
773	1660	484
774	1662	482
775	1665	480
776	1667	478
777	1669	476
778	1671	474
779	1674	472
780	1676	469
781	1678	467
782	1680	465
783	1682	463
784	1684	461
785	1686	459
786	1689	457
787	1691	454
788	1693	452
789	1695	450
790	1697	448
791	1699	446
792	1701	444
793	1703	442
794	1705	439
795	1707	437
796	1709	435
797	1711	433
798	1713	431
799	1715	428
800	1717	426
801	1719	424
802	1721	422
803	1724	420
804	1725	418
805	1727	415
806	1730	413
807	1732	411
808	1734	409
809	1736	407
810	1738	405
811	1740	403
812	1742	400
813	1744	398
814	1746	396
815	1748	394
816	1751	392
817	1753	390
818	1755	388
819	1758	385
820	1760	383
821	1762	381
822	1764	379
823	1766	377
824	1768	375
825	1770	373
826	1772	370
827	1774	368
828	1776	366
829	1778	364
830	1780	362
831	1782	360
832	1785	357
833	1787	355
834	1789	353
835	1791	351
836	1794	349
837	1796	347
838	1798	345
839	1800	342
840	1803	340
841	1805	338
842	1807	336
843	1809	334
844	1811	332
845	1814	330
846	1816	328
847	1818	325
848	1820	323
849	1822	321
850	1824	319
851	1826	317
852	1828	315
853	1830	312
854	1833	310
855	1835	308
856	1837	306
857	1839	304
858	1841	302
859	1843	300
860	1845	297
861	1848	295
862	1850	293
863	1852	291
864	1854	289
865	1856	287
866	1859	285
867	1861	283
868	1863	280
869	1865	278
870	1867	276
871	1869	274
872	1871	272
873	1874	270
874	1876	268
875	1878	265
876	1880	263
877	1882	261
878	1884	259
879	1886	257
880	1889	255
881	1891	253
882	1893	250
883	1895	248
884	1897	246
885	1899	244
886	1901	242
887	1903	240
888	1905	237
889	1908	235
890	1910	233
891	1912	231
892	1914	229
893	1916	227
894	1918	225
895	1920	222
896	1922	220
897	1925	218
898	1927	216
899	1929	214
900	1931	212
901	1933	210
902	1935	207
903	1937	205
904	1939	203
905	1942	201
906	1944	199
907	1946	197
908	1948	195
909	1950	192
910	1953	190
911	1955	188
912	1957	186
913	1959	184
914	1961	182
915	1963	180
916	1965	177
917	1967	175
918	1970	173
919	1972	171
920	1974	169
921	1976	167
922	1978	165
923	1980	162
924	1983	160
925	1985	158
926	1987	156
927	1989	154
928	1991	152
929	1993	150
930	1995	147
931	1997	145
932	2000	143
933	2002	141
934	2004	139
935	2006	137
936	2008	135
937	2010	132
938	2012	130
939	2014	128
940	2016	126
941	2019	124
942	2021	122
943	2023	120
944	2025	117
945	2027	115
946	2030	113
947	2032	111
948	2034	109
949	2036	107
950	2038	105
951	2040	102
952	2043	100
953	2045	98
954	2047	96
955	2049	94
956	2051	92
957	2053	90
958	2056	87
959	2058	85
960	2060	83
961	2062	81
962	2064	79
963	2066	77
964	2068	75
965	2071	72
966	2073	70
967	2075	68
968	2077	66
969	2079	64
970	2081	62
971	2083	60
972	2085	57
973	2087	55
974	2090	53
975	2092	51
976	2094	49
977	2096	47
978	2098	45
979	2100	42
980	2102	40
981	2104	38
982	2106	36
983	2108	34
984	2111	32
985	2113	30
986	2115	27
987	2117	25
988	2119	23
989	2121	21
990	2124	19
991	2126	17
992	2128	15
993	2130	12
994	2132	10
995	2134	8
996	2136	6
997	2139	4
998	2141	2
999	2143	0
