iter	RMSE
538	243.6815458
539	243.4767896
540	243.2988525
541	243.1055009
542	242.8983029
543	242.735693
544	242.5402652
545	242.341438
546	242.1561996
547	242.01134
548	241.8330259
549	241.6318817
550	241.4509229
551	241.2648939
552	241.0882593
553	240.8409232
554	240.6495877
555	240.4314779
556	240.2378581
557	240.0405569
558	239.8744257
559	239.697709
560	239.46464
561	239.2731226
562	239.0967911
563	238.9093682
564	238.718448
565	238.5521837
566	238.3766558
567	238.1680468
568	237.9734909
569	237.8402054
570	237.6607958
571	237.4755866
572	237.2428701
573	237.0575701
574	236.8809045
575	236.6891954
576	236.5275935
577	236.3382429
578	236.152863
579	235.9935352
580	235.813985
581	235.641332
582	235.4643661
583	235.2804817
584	235.087281
585	234.9499125
586	234.7773943
587	234.6050956
588	234.4183691
589	234.251566
590	234.0884609
591	233.9620505
592	233.7582557
593	233.5672951
594	233.3870699
595	233.2088115
596	232.979275
597	232.8331799
598	232.6553764
599	232.4802639
600	232.3078068
601	232.1236258
602	231.9462888
603	231.7436377
604	231.5609557
605	231.3945924
606	231.2589375
607	231.0848373
608	230.917758
609	230.7513422
610	230.5009108
611	230.3246084
612	230.1446423
613	229.9756683
614	229.7920167
615	229.6392119
616	229.4690959
617	229.2979704
618	229.0993281
619	228.9320648
620	228.7771261
621	228.6032314
622	228.4584287
623	228.3008152
624	228.1540455
625	227.9906202
626	227.830335
627	227.6795813
628	227.4853639
629	227.3592205
630	227.1908514
631	227.031881
632	226.8674985
633	226.6969761
634	226.5520328
635	226.3515089
636	226.1828851
637	226.0021209
638	225.844108
639	225.6277428
640	225.4666773
641	225.2931263
642	225.1342572
643	224.9561215
644	224.7819967
645	224.6123774
646	224.4638014
647	224.3093162
648	224.1544521
649	223.9985486
650	223.8528498
651	223.6898348
652	223.5243684
653	223.3161329
654	223.2034979
655	223.0873309
656	222.9307225
657	222.767074
658	222.5923665
659	222.4358444
660	222.2974412
661	222.1487008
662	221.9939092
663	221.8334587
664	221.684401
665	221.4706417
666	221.3093718
667	221.1595623
668	221.0107889
669	220.8776456
670	220.7032263
671	220.5487959
672	220.4334078
673	220.2828308
674	220.1223107
675	219.9684812
676	219.8220971
677	219.6871307
678	219.4669515
679	219.3253184
680	219.1795717
681	219.016632
682	218.891974
683	218.7486439
684	218.5888657
685	218.4423439
686	218.344425
687	218.1976449
688	217.99813
689	217.9147378
690	217.7604989
691	217.609122
692	217.4731065
693	217.3297968
694	217.1805305
695	217.0995394
696	216.9514293
697	216.8008865
698	216.6518738
699	216.5053993
700	216.3769695
701	216.2309358
702	216.0900821
703	215.8770859
704	215.6952066
705	215.5547712
706	215.4225527
707	215.2562919
708	215.1173087
709	215.0121086
710	214.8724524
711	214.7232458
712	214.5781111
713	214.4355922
714	214.2875902
715	214.1298064
716	213.9680086
717	213.825656
718	213.6983841
719	213.5580426
720	213.4341818
721	213.291113
722	213.1464472
723	213.0002676
724	212.8641089
725	212.6890081
726	212.5086826
727	212.4087338
728	212.2658133
729	212.0878302
730	211.9582535
731	211.8231743
732	211.6703907
733	211.5253173
734	211.3853599
735	211.2478482
736	211.1078058
737	210.955016
738	210.8024345
739	210.6580423
740	210.5320672
741	210.4076619
742	210.2789822
743	210.2285999
744	210.0968338
745	209.9625293
746	209.7662339
747	209.5792087
748	209.4393828
749	209.3413728
750	209.2063682
751	209.073665
752	208.9447306
753	208.8126861
754	208.6265664
755	208.4692787
756	208.3279656
757	208.215329
758	208.0823078
759	207.95907
760	207.8416332
761	207.6615455
762	207.5082878
763	207.4202018
764	207.2319988
765	207.1002283
766	206.9772454
767	206.8410662
768	206.7085211
769	206.5744659
770	206.4156822
771	206.2382795
772	206.1146691
773	205.9787881
774	205.8332784
775	205.7081082
776	205.5654393
777	205.4212702
778	205.2571047
779	205.1249376
780	205.0009485
781	204.8744314
782	204.7248963
783	204.5932173
784	204.4614079
785	204.330419
786	204.2174284
787	204.0936724
788	203.9400901
789	203.8273447
790	203.7016222
791	203.5776155
792	203.4623542
793	203.4160375
794	203.3077
795	203.186277
796	203.0537074
797	202.9292633
798	202.810462
799	202.7167705
800	202.5885049
801	202.463313
802	202.3354901
803	202.1928827
804	202.0952339
805	201.9749776
806	201.8255887
807	201.7130894
808	201.6022874
809	201.4879825
810	201.3018534
811	201.1367729
812	201.0226915
813	200.9061274
814	200.7828612
815	200.6529075
816	200.5303563
817	200.4041382
818	200.296709
819	200.1772504
820	200.0510783
821	199.9406277
822	199.830011
823	199.6896868
824	199.5710845
825	199.4104825
826	199.3047134
827	199.2024169
828	199.1250194
829	198.9923844
830	198.8764721
831	198.7661279
832	198.6130812
833	198.504318
834	198.3831132
835	198.2646255
836	198.1515046
837	198.0374367
838	197.9136147
839	197.7913498
840	197.6957757
841	197.5871636
842	197.4688152
843	197.3509192
844	197.2466479
845	197.0882442
846	196.9784184
847	196.8244298
848	196.7780312
849	196.6677914
850	196.550034
851	196.4024122
852	196.2654577
853	196.1669432
854	195.9873597
855	195.875704
856	195.7644118
857	195.6514464
858	195.5439621
859	195.3855721
860	195.2799117
861	195.1692323
862	195.0676508
863	194.9566147
864	194.8515108
865	194.7378885
866	194.6232768
867	194.4637525
868	194.3703171
869	194.2536798
870	194.1062774
871	193.9962687
872	193.9021168
873	193.7917399
874	193.6959195
875	193.5813809
876	193.4540672
877	193.350623
878	193.2552177
879	193.1224731
880	193.0105572
881	192.9109836
882	192.800025
883	192.6975698
884	192.602047
885	192.4917682
886	192.3981821
887	192.2482105
888	192.1439787
889	192.0488423
890	191.9493378
891	191.8634432
892	191.7615125
893	191.6143324
894	191.5723943
895	191.4355945
896	191.3256625
897	191.2097921
898	191.0751606
899	190.9697301
900	190.870488
901	190.7232279
902	190.6244466
903	190.5247872
904	190.4233359
905	190.333633
906	190.2436727
907	190.1126974
908	189.9847405
909	189.8826292
910	189.7780661
911	189.6817671
912	189.5860878
913	189.5307873
914	189.4409955
915	189.3064926
916	189.1563393
917	189.1161401
918	189.0118929
919	188.8682116
920	188.7660026
921	188.6596362
922	188.4996225
923	188.4035919
924	188.3018918
925	188.1817655
926	188.0947574
927	187.996562
928	187.8969682
929	187.7823734
930	187.6783951
931	187.5184932
932	187.4795172
933	187.3707421
934	187.2718747
935	187.1752583
936	187.0789583
937	186.9523755
938	186.8579114
939	186.7635409
940	186.6780013
941	186.5539683
942	186.4538863
943	186.3586943
944	186.257217
945	186.1604272
946	186.0255919
947	185.9847678
948	185.8832516
949	185.7609402
950	185.6604669
951	185.5326337
952	185.3997578
953	185.3016824
954	185.2049078
955	185.1049015
956	184.9932764
957	184.9044316
958	184.795983
959	184.7092762
960	184.6149904
961	184.49531
962	184.4029691
963	184.3219996
964	184.2237651
965	184.1310754
966	184.0939982
967	183.9659937
968	183.8874778
969	183.7801319
970	183.6493914
971	183.5567696
972	183.4604679
973	183.3767293
974	183.2375811
975	183.1563343
976	183.0666302
977	182.9771552
978	182.8890341
979	182.8509599
980	182.7166539
981	182.616668
982	182.5267247
983	182.4260926
984	182.3017958
985	182.2084321
986	182.0973926
987	181.9791622
988	181.8866025
989	181.7989817
990	181.6976026
991	181.618102
992	181.5088941
993	181.3923359
994	181.3115653
995	181.2159379
996	181.13011
997	181.0321779
998	180.9504904
999	180.8399048
